batch_id,paper_id,title,authors,year,year_basis,venue,publication_status,paper_type,citation_count,doi_or_identifier,open_source,open_source_notes,task_domain,primary_problem,long_horizon,language_conditioned,human_robot_interaction,uses_world_model,world_model_family,world_model_detail,predictive_space,prediction_target,action_conditioned,video_prediction,uses_planning,planning_method,planning_representation,planning_horizon,horizon_basis,hierarchical_planning,replanning_online,planning_role,learning_type,policy_type,pretraining,observation_modality,goal_representation,action_space,benchmark,robot_platform,simulation,real_robot,main_contribution,novelty,limitations,future_work,evidence_world_model,evidence_planning,evidence_horizon,confidence,review_flags,source_document
batch_08,B08-002,Multi-robot geometric task-and-motion planning for collaborative manipulation tasks,Hejia Zhang; Shao-Hung Chan; Jie Zhong; Jiaoyang Li; Peter Kolapo; Sven Koenig; Zach Agioutantis; Steven Schafrik; Stefanos Nikolaidis,2023,Published online 30 Oct 2023,Autonomous Robots,Peer-reviewed journal article,Method,,10.1007/s10514-023-10148-y,Unknown,No paper-specific code release was identified in the supplied article.,Multi-Robot Manipulation; Geometric Task and Motion Planning; Mining Robotics,Planning; Multi-Robot Collaboration; Rearrangement,No / Unclear,No,No,No,None,"N/A — uses explicit reachability, occlusion, task-skeleton, and motion-planning models rather than learned dynamics.",N/A,N/A,N/A,No,Yes,MCTS; Mixed-Integer Programming; Geometric Task and Motion Planning,"Hybrid: collaborative manipulation graph, symbolic task skeleton, object placements, and robot trajectories",Medium,"Reported benchmark plans generally contain roughly three to five synchronized task stages, with each stage grounded into multi-robot motion; roof-bolting executions last 250–270 seconds.",Yes,No,Full End-to-End Planner,"None — search, optimization, and motion planning",None,No,"Fully observed structured geometry, object regions, reachability, and occlusion relations",Goal regions for target objects and task-specific mining objectives,"Hybrid: robot-object assignments, relocation and handover actions, object placements, and continuous trajectories",Pick-and-place arms domain; mobile-manipulator box-moving domain; two underground roof-bolting scenarios,Multiple robotic arms and mobile manipulators; ABB arm coordinated with an autonomous roof bolter,Yes,Yes,Builds collaborative manipulation graphs and uses MIP-guided MCTS to find efficient multi-robot geometric task-and-motion plans.,"Precomputes robot-specific reachability and occlusion information to generate promising collaborative task skeletons, including handovers, before grounding their continuous parameters.","Assumes monotone object motion, predefined handover regions, synchronous actions, and full observability; it does not optimize trajectory length or execution time directly.","Support non-monotone tasks, discover handover regions dynamically, account for sensing uncertainty and trajectory cost, use learning to accelerate planning, and extend to broader MR-TAMP problems.","All environmental reasoning uses explicit geometric and symbolic structures, not a learned predictive transition model.","MIPs propose task skeletons, MCTS balances exploration and exploitation, and motion planners ground object placements and robot trajectories.",The reported task skeletons are multi-stage but relatively compact; the paper is not explicitly framed as a long-horizon planning method.,High,Core multi-robot TAMP baseline. Keep separate from the explicitly long-horizon 113-part construction planner in batch 7.,Multi-robot geometric task-and-motion planning for collaborative manipulation tasks.txt
batch_08,B08-003,Octo: An Open-Source Generalist Robot Policy,Octo Model Team (Dibya Ghosh; Homer Walke; Karl Pertsch; Kevin Black; Oier Mees; et al.),2024,Published at Robotics: Science and Systems 2024,Robotics: Science and Systems (RSS),Peer-reviewed conference article,Method,,RSS 2024,Yes,"Training code, finetuning code, model checkpoints, and data infrastructure are publicly released.",Manipulation; Generalist Robot Policies; Cross-Embodiment Learning,Policy Learning; Foundation Model; Efficient Finetuning,Yes,Yes,No,No,None,N/A — Octo directly maps task and observation tokens to future action chunks.,N/A,Future robot action chunk,No,No,No,None — direct generalist policy execution,N/A,None,"Octo is tested on long-horizon tasks such as Stanford Coffee, but no explicit search, world-model rollout, or high-level decomposition is used.",No,Yes — the policy repeatedly generates action chunks from updated observations,Local Controller,Cross-Embodiment Imitation Learning; Diffusion Action Modeling; Foundation-Policy Pretraining,Generalist Robot Policy; Diffusion Action Policy,"Yes — trained on 800,000 Open X-Embodiment trajectories",Multiple RGB cameras; proprioception; optional new modalities such as force-torque after finetuning,Natural-language instruction or goal image,"Flexible end-effector, joint-position, single-arm, and bimanual action spaces","Nine real robot setups including WidowX BridgeV2, UR5 Tabletop, CMU Baking, Stanford Coffee, Berkeley Insertion, Pick-Up, Coke, and Bimanual",Nine real robot setups across four institutions,No,Yes,"Provides a fully open-source transformer policy that supports multiple robots, observations, task specifications, and action spaces and can be efficiently finetuned.","Combines a flexible token-based transformer, language or goal-image conditioning, diffusion action chunks, and adapter-based finetuning across new robot interfaces.","Performance is limited by sparse wrist-camera and language annotations, degrades for novel skills and scenes, and is trained only from optimal demonstration data on manipulation platforms.","Improve wrist-camera and language conditioning, learn from suboptimal or online interaction data, and expand to navigation and mobile manipulation.",The model predicts robot actions directly and contains no learned transition or future-observation model.,Long-horizon tasks are handled through repeated closed-loop policy inference rather than an explicit planner.,"The evaluation explicitly includes long task horizons such as Stanford Coffee, but planning_horizon remains None.",High,Core generalist-policy baseline; exclude from world-model and explicit-planning counts.,Octo_ An Open-Source Generalist Robot Policy.txt
batch_08,B08-004,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,Open X-Embodiment Collaboration,2023,First public appearance: arXiv:2310.08864 in Oct 2023; supplied revision v9 dated 14 May 2025,arXiv,Dataset and model paper / revised preprint,Dataset,,arXiv:2310.08864,Yes,"The standardized datasets, sample code, project resources, and RT-1-X model are publicly released.",Manipulation; Cross-Embodiment Robot Learning,Dataset; Generalist Policy Learning; Cross-Embodiment Transfer,N/A — the paper aggregates heterogeneous tasks rather than evaluating one normalized horizon,N/A — many constituent datasets and RT-X models use language instructions,N/A,No,None,N/A — RT-1-X and RT-2-X are direct robot policies rather than predictive environment models.,N/A,Robot actions for the accompanying RT-X policy experiments,No,No,No,None,N/A,N/A,"The dataset spans diverse tasks and embodiments, but the paper does not define a single planning horizon.",N/A,N/A,N/A,Dataset Aggregation; Cross-Embodiment Imitation Learning; Vision-Language-Action Fine-Tuning,RT-1-X; RT-2-X,Yes — RT-X models are trained on the aggregated cross-embodiment dataset,"Multiple RGB, proprioceptive, language, and embodiment-specific sensor configurations",Natural-language instruction and dataset-specific task labels,Standardized heterogeneous robot action spaces across embodiments,"More than one million real-robot episodes from 22 embodiments, 21 institutions, 527 skills, and 160,266 tasks",Twenty-two real robot embodiments,No / Limited,Yes,Consolidates a large cross-institution robot dataset and demonstrates positive cross-embodiment transfer with RT-1-X and RT-2-X.,Standardizes heterogeneous datasets and shows that policies trained jointly across robots can outperform embodiment-specific models and gain emergent skills.,"The study does not cover highly different sensing or actuation modalities, does not test adaptation to entirely new robots, and lacks a criterion predicting when cross-embodiment transfer will help.","Expand embodiment and modality diversity, study transfer to unseen robots, and develop principles for predicting positive or negative cross-domain transfer.",The accompanying RT-X models map observations and instructions directly to actions without modeling future environment dynamics.,"The contribution is dataset aggregation and direct policy learning, not search or task decomposition.",No corpus-wide task horizon is defined because the dataset merges many independent robot datasets and skills.,High,"First Dataset row in the taxonomy. Exclude from method, survey, benchmark, world-model, and planner counts; retain for dataset-scale and foundation-policy analyses.",Open X-Embodiment_ Robotic Learning Datasets and RT-X Models.txt
batch_08,B08-005,PaLM-E: An Embodied Multimodal Language Model,Danny Driess; Fei Xia; Mehdi S. M. Sajjadi; Corey Lynch; Aakanksha Chowdhery; Brian Ichter; Ayzaan Wahid; Jonathan Tompson; Quan Vuong; Tianhe Yu; Wenlong Huang; Yevgen Chebotar; Pierre Sermanet; Daniel Duckworth; Sergey Levine; Vincent Vanhoucke; Karol Hausman; Marc Toussaint; Klaus Greff; Andy Zeng; Igor Mordatch; Pete Florence,2023,First public appearance: arXiv:2303.03378 on 6 Mar 2023,International Conference on Machine Learning (ICML),Peer-reviewed conference article,Method,,arXiv:2303.03378,Unknown,"A project website and demonstrations are available, but a complete public model and training-code release was not established.",Embodied AI; Manipulation; Mobile Manipulation; Visual Question Answering,Language Planning; Multimodal Foundation Models; Embodied Reasoning,Yes,Yes,Yes — receives human instructions and supports grounded dialogue,No,None,"N/A — multimodal sensor tokens condition a language model that emits textual plans, without learning action-conditioned environment dynamics.",N/A,"Textual answers, subgoals, and sequential robot-plan steps",No,No,Yes,Language Planner; Hierarchical,"Textual subgoals conditioned on image, state, neural 3D, language, and plan history",Long,PaLM-E autoregressively emits multi-step subgoals for real tabletop and mobile-manipulation tasks until termination.,Yes,Yes — the next plan step is conditioned on current visual observations and previous execution history,High-Level Planner,Multitask Supervised Fine-Tuning; Multimodal Foundation-Model Transfer,Embodied Multimodal LLM with External Low-Level Skill Policies,"Yes — PaLM language model, vision transformers, and multimodal encoders",Language; RGB images; continuous state estimates; neural 3D scene representations,Natural-language instruction,Discrete textual subgoals mapped to pretrained manipulation and navigation policies,TAMP environment; Language-Table; real mobile manipulation; OK-VQA; VQAv2; COCO captioning,Language-Table tabletop robot; Everyday Robots mobile manipulator; simulated TAMP environment,Yes,Yes,Injects continuous perceptual and state representations directly into a pretrained language model to create one multimodal model for embodied planning and general vision-language reasoning.,"Demonstrates positive transfer from internet-scale language and vision tasks to data-efficient, multi-embodiment robotic planning using a single end-to-end model.","Planning remains bounded by the available low-level skill policies and training mixture, and the model does not explicitly predict physical dynamics or guarantee safe and feasible actions.","Combine embodied language modeling with stronger large-scale visual and geometric representations, more capable low-level control, and improved grounding and safety.",PaLM-E grounds sensor inputs inside an LLM but does not predict next environment states conditioned on candidate actions.,"It generates the next textual plan step from current observations and history, then maps that subgoal to a low-level robot policy.",The paper demonstrates real long-horizon block sorting and mobile manipulation under disturbances through repeated subgoal generation.,High,Core multimodal language-planning paper; not a world model and not a direct low-level policy.,PaLM-E_ An Embodied Multimodal Language Model.txt
batch_09,B09-001,Partially Observable Markov Decision Processes in Robotics: A Survey,Mikko Lauri; David Hsu; Joni Pajarinen,2022,First public appearance: arXiv:2209.10342 on 21 Sep 2022,IEEE Transactions on Robotics,Peer-reviewed journal survey / author manuscript,Survey,,arXiv:2209.10342,Unknown,No single companion implementation is associated with this broad survey.,General Robotics; Planning Under Uncertainty,Survey; POMDP Planning; Decision Making Under Uncertainty,"N/A — finite-, infinite-, and receding-horizon methods are reviewed",N/A,N/A — HRI is one reviewed application area,"N/A — reviews explicit and learned transition, observation, and reward models",N/A — probabilistic state-transition and observation models,"Reviews POMDP formulations that maintain belief states and reason using transition, observation, and reward models under partial observability.",N/A,N/A,N/A,N/A,"N/A — offline, online, sampling-based, and heuristic POMDP planners are reviewed",N/A,Belief state / probabilistic model,N/A,"The survey covers finite-horizon, infinite-horizon, online receding-horizon, and temporally abstract planning.",N/A,N/A,N/A,N/A,N/A,N/A,Multiple; potentially continuous and high dimensional,Expected cumulative reward under uncertainty,Multiple; discrete and continuous approaches reviewed,"Applications across navigation, driving, search and tracking, manipulation, HRI, and multi-robot coordination",Multiple,Both / Survey,Both / Survey,Connects POMDP theory and algorithms to practical modeling choices across six major robotics application areas.,Provides a robotics-centered synthesis of when POMDP structure is useful and how task characteristics affect model and solver selection.,"POMDP deployment remains constrained by computational complexity, continuous and high-dimensional spaces, model acquisition, and gaps between assumed models and real systems.","Integrate model learning and planning more tightly, improve continuous-space and high-dimensional methods, and scale constrained POMDPs for safe robotics.","POMDP planning explicitly reasons through transition, observation, and reward models, which may be specified or learned, but this survey proposes no single world model.","The paper reviews exact, approximate, offline, online, Monte Carlo, and receding-horizon solution algorithms over belief states.","Both finite and infinite horizons, long-horizon abstraction, and online limited-horizon approximations are reviewed.",High,Foundational planning-under-uncertainty survey; retain for theoretical framing but exclude from method and architecture counts.,Partially Observable Markov Decision Processes in Robotics_ A Survey.txt
batch_09,B09-002,PIVOT-R: Primitive-Driven Waypoint-Aware World Model for Robotic Manipulation,Kaidong Zhang; Pengzhen Ren; Bingqian Lin; Junfan Lin; Shikui Ma; Hang Xu; Xiaodan Liang,2024,First public appearance: arXiv:2410.10394 in Oct 2024; published at NeurIPS 2024,Advances in Neural Information Processing Systems (NeurIPS),Peer-reviewed conference article,Method,,arXiv:2410.10394,Unknown,"A project website is provided, but a public code release was not established from the supplied manuscript.",Language-Guided Manipulation; Vision-Language-Action Control,World Modeling; Policy Learning; Waypoint Prediction; Efficient Execution,No,Yes,No,Yes,Latent Dynamics,"A VLM parses one of ten manipulation primitives, and a scene-prediction transformer predicts the CLIP feature of a task-relevant future waypoint for conditioning a lightweight action decoder.",Latent / Observation,Task-relevant future waypoint image feature,"Yes — conditioned on current observations, robot state, action history, and primitive prompt",No,No,None — primitive parsing and waypoint prediction feed a direct action policy without search or candidate rollout evaluation,N/A,None,The method predicts the next task-relevant waypoint and low-level action; SeaWave levels measure instruction complexity rather than temporal horizon.,"No — modules run at different frequencies, but no separate task-level plan is optimized","Yes — primitive, waypoint, and action predictions are refreshed asynchronously from current observations",Local Controller,Imitation Learning; Latent Waypoint Prediction; Vision-Language Pretraining,Waypoint-Conditioned Vision-Language-Action Policy,Yes — pretrained VLM and CLIP encoders,First- and third-person RGB; language; robot state; action history,Natural-language instruction parsed into manipulation primitives,"Discretized delta position, delta Euler rotation, and binary gripper state",SeaWave four-level instruction benchmark; three custom real-world tasks,SeaWave simulated manipulator; real robot platform not specified in the extracted manuscript text,Yes,Yes,"Predicts sparse task-relevant visual waypoints rather than modeling every timestep, improving manipulation accuracy and execution efficiency.",Combines primitive-guided latent waypoint prediction with an asynchronous hierarchy whose modules run at different frequencies.,"High-level primitive instructions and executed low-level actions can disagree, particularly for directional commands, and large action modules may overfit.",Strengthen consistency between high-level instructions and low-level execution so actions can adapt reliably to requested changes.,The scene module predicts the latent CLIP representation of a future waypoint state from current multimodal context.,"No search, MPC, or multi-candidate rollout stage is used; the predicted waypoint directly conditions action decoding.","The benchmark contains individual manipulation skills with progressively harder language grounding, not long-horizon multi-stage tasks.",High,"Core predictive waypoint world model, but exclude from explicit-planner counts. Do not interpret SeaWave Level 4 as long-horizon.",PIVOT-R_ Primitive-Driven Waypoint-Aware World Model for Robotic Manipulation.txt
batch_09,B09-003,Planning Single-Arm Manipulations with N-Arm Robots,Benjamin Cohen; Mike Phillips; Maxim Likhachev,2014,Original paper appeared at Robotics: Science and Systems 2014; supplied file is a short version published at SoCS 2015,Robotics: Science and Systems (RSS),Peer-reviewed conference article; short version in SoCS 2015,Method,,RSS 2014,Unknown,No code release was identified in the supplied short paper.,Multi-Arm Manipulation; Object Transport; Handover Planning,Planning; Multi-Arm Coordination; Motion Planning,No,No,No,No,None,N/A — the system uses an explicit kinematic and collision model.,N/A,N/A,N/A,No,Yes,Lazy Weighted A*; Graph Search,"Hybrid graph over object pose, supporting arm, grasp, and manipulator redundancy parameters",Short,Each problem moves one object from a start to a goal pose and typically requires roughly one to two handoffs.,No — discrete arm/grasp choices and continuous motion are handled within one search representation,No,Full End-to-End Planner,None — heuristic search and motion planning,None,No,"Known object pose, obstacles, robot kinematics, and grasp set",Target object pose in SE(3),"Object-pose motion primitives, free-angle changes, grasp changes, and arm handoffs","Four planning scenes: two-arm tabletop, three-arm bar, three-arm checkout, and four-arm factory",Two to four simulated PR2 7-DoF arms,Yes,No,"Plans object transport across an arbitrary number of overlapping robot arms while jointly selecting arm order, grasps, handoff locations, and collision-free motions.","Searches primarily in the object's six-dimensional pose while tracking only the currently supporting arm, avoiding the full joint configuration space of all arms.","The method assumes unused arms remain in predefined safe configurations, evaluates only one transported object, and shows an 80% success rate across 25 simulated trials.",Not explicitly stated in the supplied short paper.,"The planner uses deterministic kinematics, inverse kinematics, and collision checking rather than learned dynamics.","Lazy Weighted A* jointly searches object motions, arm support changes, grasp choices, and handoff feasibility.","The task is a single object relocation with an average of approximately 1.3–2 handoffs, rather than a long task sequence.",High,Historical multi-arm manipulation-planning baseline; record year as 2014 under the original-publication rule.,Planning Single-Arm Manipulations with N-Arm Robots.txt
batch_09,B09-004,Real-world robot applications of foundation models: a review,Kento Kawaharazuka; Tatsuya Matsushima; Andrew Gambardella; Jiaxian Guo; Chris Paxton; Andy Zeng,2024,Published online 16 Oct 2024,Advanced Robotics,Peer-reviewed journal review article,Survey,,10.1080/01691864.2024.2408593,Unknown,"The article is open access, but no single companion code repository is associated with the review.",General Robotics; Foundation Models; Real-World Deployment,Survey; Foundation Models; Perception; Planning; Control,N/A — reviews high-level and low-level planning applications,N/A — many reviewed systems use language,N/A — human interaction and communication applications are reviewed,N/A — generative and multimodal foundation models are reviewed among broader model classes,N/A — multiple foundation-model and generative-model families,"Organizes foundation models by modality and input-output mapping, then studies their replacement of perception, planning, control, and data-generation components.",N/A,N/A,N/A,N/A,"N/A — high-level planning, code generation, and low-level planning applications are reviewed",N/A,"Multiple: language, code, latent features, images, actions, and skills",N/A,The review discusses hierarchical skills and long-horizon code or task planning but proposes no single planner.,N/A,N/A,N/A,N/A,N/A,N/A,Language; vision; audio; 3D; force and other modalities,Multiple,Multiple,Multiple real-world robot studies and robotic foundation-model datasets,Multiple,Both / Survey,Both / Survey,"Surveys how foundation models can replace or augment specific components in practical robot systems, from perception through planning and control.","Uses input-output modality transformations and robot-stack component replacement as its organizing framework, with emphasis on real-world deployment.","The field still underuses force, depth, inertial, and motion modalities; control rates are slow; low-level force control, safety, outdoor deployment, hardware diversity, and fair real-world evaluation remain limited.","Develop hierarchical skill interfaces, faster and safer embodied foundation models, richer multimodal sensing, broader hardware and outdoor deployment, stronger open-world generalization, and real-world evaluation standards.","Generative and multimodal models are reviewed, but the paper does not propose one predictive environment model.","The survey separately reviews high-level task planning, code generation, low-level planning, control, and data augmentation.",It identifies skill hierarchy and planning granularity as future challenges rather than evaluating a paper-specific horizon.,High,Supporting survey for foundation-model deployment and component-level analysis; exclude from method-only counts.,Real-world robot applications of foundation models  a review.txt
batch_09,B09-005,Research status of elderly-care robots and safe human-robot interaction methods,Donghui Zhao; Xingwang Sun; Bo Shan; Zihao Yang; Junyou Yang; Houde Liu; Yinlai Jiang; Yokoi Hiroshi,2023,Published 30 Nov 2023,Frontiers in Neuroscience,Peer-reviewed review article,Survey,,10.3389/fnins.2023.1291682,Unknown,The article is open access under CC BY; no companion software resource is associated with the review.,Elderly-Care Robotics; Assistive Robotics; Human-Robot Interaction,Survey; Safe Human-Robot Interaction; Assistive Robotics,N/A,N/A,N/A — safe interaction is the survey's central topic,N/A — not focused on learned predictive world models,N/A,"Reviews sensing, prediction, control, planning, biomechanics, and social factors for safe elderly-care interaction.",N/A,N/A,N/A,N/A,N/A — motion planning and prediction are reviewed as safety mechanisms,N/A,N/A,N/A,No single planning architecture or normalized horizon is evaluated.,N/A,N/A,N/A,N/A,N/A,N/A,"Multiple: physiological sensors, vision, wearable sensing, force, motion, and smart-home sensors","Multiple care, rehabilitation, monitoring, and companionship objectives",Multiple,"Multiple elderly-care robot systems, rehabilitation devices, companion robots, and safe-HRI studies",Multiple,Both / Survey,Both / Survey,"Reviews elderly-care robot categories, nursing modes, and the technical and social methods needed for safe interaction with frail users.","Integrates robot-care functions with physical safety, intention understanding, biomechanics, ethics, psychology, and user acceptance.","Current systems remain specialized, rely heavily on professional supervision, have limited flexibility and autonomy, and face safety, ethical, privacy, and acceptance barriers.","Coordinate heterogeneous assistive robots, build robot-and-sensor smart-home care models, improve mechanical flexibility and safety, and increase user acceptance.",The review includes prediction and sensing methods for safety but is not organized around learned action-conditioned environment models.,Motion planning and prediction are discussed as components of safe interaction rather than as one proposed planner.,The paper provides no paper-level planning horizon.,High,Peripheral to the core world-model and long-horizon manipulation corpus; retain only for HRI and safety context.,Research status of elderly-care robots and safe human-robot interaction methods.txt
batch_10,B10-001,Sim-to-Real Surgical Robot Learning and Autonomous Planning for Internal Tissue Points Manipulation using Reinforcement Learning,Yafei Ou; Mahdi Tavakoli,2023,Accepted by IEEE RA-L in February 2023; arXiv:2306.14085 v1 appeared 25 Jun 2023,IEEE Robotics and Automation Letters,Peer-reviewed journal article,Method,,10.1109/LRA.2023.3254860; arXiv:2306.14085,Unknown,No paper-specific code release was identified; the simulation environment is built with the open-source SOFA framework.,Surgical Robotics; Deformable Tissue Manipulation; Dual-Arm Manipulation,Sim-to-Real Policy Learning; Preoperative Planning; Deformable-Object Control,No,No,No,No,None,N/A — the method uses an explicit FEM simulator for training and optimization rather than learning a predictive environment model.,N/A,N/A,N/A,No,Yes,Bayesian Optimization; Preoperative Planning,Continuous grasp-point parameters evaluated through an FEM simulator and learned SAC policy,Short,Bayesian optimization selects one pair of grasping points before a single internal-tissue positioning episode.,Yes — a preoperative grasp-point planner configures a separate low-level manipulation policy,No — grasp points are optimized before execution,High-Level Planner,Sim-to-Real Deep Reinforcement Learning; Domain Randomization; Bayesian Optimization,Soft Actor-Critic,Yes — the control policy is trained entirely in FEM simulation before real deployment,Stereo vision; controlled tissue-point positions; target positions,Desired Cartesian positions of internal tissue points,Continuous 2D Cartesian displacement commands for two tissue grasping points,Custom SOFA FEM indirect simultaneous positioning environment and real phantom-tissue experiments,Two da Vinci Research Kit Patient Side Manipulators with a stereo camera system,Yes,Yes,Combines simulation-trained SAC control with Bayesian optimization of surgical grasp points for accurate sim-to-real internal tissue positioning.,Uses a state-augmented MDP to handle inconsistent simulation timing and reuses the learned policy as the evaluator for preoperative grasp-point planning.,"Assumes a mostly flat, mildly warped tissue surface and visually detectable internal points; local force is not directly minimized, and training and planning remain computationally expensive.","Add realistic 3D tissue reconstruction and internal-point localization, optimize applied force, extend to breast brachytherapy, automate grasping, and accelerate simulation and optimization with GPU parallelism.",FEM supplies a hand-engineered physical simulator; no learned action-conditioned transition model is proposed.,Bayesian optimization evaluates candidate grasp-point pairs in simulation using the trained policy before real execution.,"The task is one surgical positioning subtask with fixed grasp points, not a multi-stage long-horizon procedure.",High,"Explicit simulator-based planning, but not a learned world model. Count as planning while keeping planning_horizon Short.",Sim-to-Real Surgical Robot Learning and Autonomous Planning for Internal Tissue Points Manipulation Using Reinforcement .txt
batch_10,B10-002,RT-1: Robotics Transformer for Real-World Control at Scale,Anthony Brohan; Noah Brown; Justice Carbajal; Yevgen Chebotar; Joseph Dabis; Chelsea Finn; Keerthana Gopalakrishnan; Karol Hausman; et al.,2022,First public appearance: arXiv:2212.06817 in Dec 2022; published at RSS 2023,Robotics: Science and Systems (RSS),Peer-reviewed conference article,Method,,arXiv:2212.06817; RSS 2023,Yes,The authors release model code through the Robotics Transformer repository and provide a public project website.,Mobile Manipulation; Generalist Robot Policies; Real-World Control,Policy Learning; Scaling; Generalization; Language-Conditioned Control,Yes,Yes,No,No,None,N/A — RT-1 directly maps image history and a language instruction to tokenized robot actions.,N/A,Next discretized robot action,No,No,No,None — direct closed-loop policy inference,N/A,None,"Long-horizon execution is demonstrated when RT-1 is used as the low-level skill policy inside the external SayCan planner, including tasks of up to 50 stages.",No — RT-1 itself is the low-level policy rather than the SayCan planner,Yes — actions are regenerated from a six-image history and language instruction at approximately 3 Hz,Local Controller,Large-Scale Multitask Imitation Learning; Cross-Domain Data Absorption,Robotics Transformer; Tokenized Behavior-Cloning Policy,"Yes — trained on approximately 130,000 real-robot episodes spanning more than 700 tasks",History of six RGB images; natural-language instruction,Natural-language instruction,"Eleven discretized outputs: six end-effector motions, gripper opening, three base motions, and an arm/base/terminate mode","More than 700 real-world tasks, 3,000 evaluation trials, office-kitchen generalization, simulation-data absorption, and SayCan long-horizon tasks",Fleet of 13 Everyday Robots mobile manipulators,Yes — simulation data are incorporated in data-absorption experiments,Yes,"Introduces an efficient high-capacity transformer policy trained at large real-robot scale and demonstrates strong task, object, environment, and data-source generalization.","Combines language-conditioned FiLM vision encoding, TokenLearner compression, and a decoder-only transformer to run a 35M-parameter policy in real time.","Imitation learning cannot exceed demonstrator quality; novel instructions must recombine seen concepts, evaluated environments remain similar to training kitchens, and the manipulation tasks are not highly dexterous.","Expand to more diverse environments, genuinely novel motions, broader and more dexterous instruction sets, and additional heterogeneous data sources.","The transformer directly outputs action tokens and does not predict future states, observations, rewards, or dynamics.",RT-1 performs low-level control; the external SayCan framework supplies long-horizon skill selection.,"RT-1 enables SayCan executions of up to 50 stages, so task-level long_horizon is Yes while planning_horizon remains None.",High,"Core generalist-policy baseline. Long-horizon capability reflects composition by SayCan, not planning inside RT-1.",RT-1_ Robotics Transformer for Real-World Control at Scale.txt
batch_10,B10-003,Robot Learning From Randomized Simulations: A Review,Fabio Muratore; Fabio Ramos; Greg Turk; Wenhao Yu; Michael Gienger; Jan Peters,2022,Published 11 Apr 2022,Frontiers in Robotics and AI,Peer-reviewed review article,Survey,,10.3389/frobt.2022.799893,Unknown,"The article is open access, but no single companion implementation is associated with the broad review.",General Robotics; Sim-to-Real Learning,Survey; Domain Randomization; Simulation-to-Real Transfer,N/A,N/A,N/A,N/A — reviews parameterized simulators and learned models but does not propose one world model,N/A,"Reviews randomized physics simulators, parameter distributions, system identification, adaptive randomization, and related robust-learning methods.",N/A,N/A,N/A,N/A,N/A — policy search and model-based methods are reviewed among broader sim-to-real approaches,N/A,N/A,N/A,No single planner or normalized horizon is evaluated.,N/A,N/A,N/A,N/A,N/A,N/A,Multiple,Multiple task-specific objectives,Multiple,"Multiple manipulation, locomotion, navigation, drone, and in-hand sim-to-real studies",Multiple,Both / Survey,Both / Survey,Provides a comprehensive mathematical and practical review of domain randomization and learning robot policies from randomized simulations.,"Introduces a domain-randomization taxonomy and connects sim-to-real practice with robust optimization, Bayesian inference, system identification, and policy search.","The reviewed field suffers from labor-intensive simulator construction, incomplete reporting of randomization choices, costly real-world validation, and uncertain transferability estimates.","Automate real-to-sim-to-real pipelines, improve adaptive and multi-fidelity randomization, develop stronger transfer metrics, and combine safe real-world adaptation with reusable simulation knowledge.","Simulators are parameterized generative models, but this review is not a proposed predictive world-model system.","The survey covers RL, policy search, model learning, and simulation optimization rather than one planning algorithm.",Planning horizon is not a paper-level variable in this survey.,High,"Supporting sim-to-real survey; retain for domain-randomization and simulation-method analyses, but exclude from method and world-model counts.",Robot Learning From Randomized Simulations_ A Review.txt
batch_10,B10-004,"Robotic world models—conceptualization, review, and engineering best practices",Ryo Sakagami; Florian S. Lay; Andreas Dömel; Martin J. Schuster; Alin Albu-Schäffer; Freek Stulp,2023,Published 2 Nov 2023,Frontiers in Robotics and AI,Peer-reviewed review article,Survey,,10.3389/frobt.2023.1253049,Unknown,"The article is open access, but no single codebase accompanies this conceptual and engineering review.",General Robotics; Software Architecture; World Modeling,Survey; World-Model Conceptualization; Engineering Best Practices,N/A,N/A,N/A,N/A — the paper reviews and defines multiple meanings of robotic world models,N/A — classical shared-state architectures and predictive neural world models are both reviewed,"Defines a world model through its boundary, internal state, and operations, emphasizing information shared among sensing, planning, and acting components.",N/A,N/A,N/A,N/A,N/A — planners are consumers of shared world-model state in many reviewed systems,N/A,"Multiple: geometric maps, semantic knowledge, belief state, symbolic representations, and learned latent dynamics",N/A,No single planner or task horizon is evaluated.,N/A,N/A,N/A,N/A,N/A,N/A,Multiple,Multiple,Multiple,Fifteen robotic world-model case studies spanning approximately four decades,Multiple,Both / Survey,Both / Survey,"Proposes consistent terminology, design dimensions, and software-engineering guidelines for implementing robotic world models.","Frames world-model design through boundary, state, and operations and derives guidance from 'design for use,' DRY, and low-coupling/high-cohesion principles.","There is no universal world-model design; guidelines can conflict or be infeasible, and appropriate boundaries and abstraction levels depend strongly on the robot, environment, and task.",Design world models for less controlled environments and increasingly complex systems containing more diverse hardware and software components.,The review explicitly contrasts classical shared-information world models with deep predictive dynamics models.,"A world model is treated as a component that consolidates information for multiple planners, sensors, and actors.",The review does not report a method-level planning horizon.,High,"Definition-sensitive survey: its broad software-architecture meaning includes non-predictive shared state, unlike the master dataset's strict method-level predictive-world-model rule.","Robotic world models—conceptualization, review, and engineering best practices.txt"
